id,language,gender_context,category,student_statement,advisor_reply
292,English,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
293,Mixed,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha. Is liye semester freeze request kar raha/rahi hoon,Semester pause karna aapke liye beneficial hoga. Advisor ne recommend kiya hai semester freeze lene ke liye
294,English,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
295,English,Female,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
296,Mixed,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
297,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
298,RomanUrdu,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
299,English,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
300,Mixed,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Advisor ke saath discuss karein aur semester freeze lein. Advisor ne recommend kiya hai semester freeze lene ke liye
301,Mixed,Neutral,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
302,RomanUrdu,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
303,English,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
304,RomanUrdu,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
305,RomanUrdu,Female,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
306,RomanUrdu,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
307,Mixed,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
308,English,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
309,Mixed,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
310,English,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
311,English,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
312,Mixed,Neutral,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommended hai taake aap fully recover kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
313,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
314,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
315,Mixed,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
316,English,Female,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
317,Mixed,Neutral,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze ke dauran rest aur recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
318,RomanUrdu,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
319,English,Male,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
320,English,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
321,RomanUrdu,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
322,English,Female,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
323,English,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
324,Mixed,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
325,RomanUrdu,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
326,English,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
327,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
328,English,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
329,English,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
330,Mixed,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
331,English,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
332,Mixed,Male,Financial Issues,Main temporary full time job kar raha hoon to support family. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap work aur studies dono manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
333,Mixed,Female,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
334,RomanUrdu,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
335,Mixed,Neutral,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya marriage ki wajah se. Advisor ne recommend kiya hai semester freeze lene ke liye
336,English,Male,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
337,Mixed,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap family support kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
338,Mixed,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
339,English,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
340,Mixed,Female,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
341,Mixed,Female,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain. Is liye semester freeze request kar raha/rahi hoon,Foundation courses complete karne ke baad advance courses enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
342,Mixed,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
343,RomanUrdu,Female,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
344,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
345,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
346,RomanUrdu,Female,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
347,Mixed,Female,Medical Issues,I had surgery and doctor ne complete rest kaha hai. Is liye semester freeze request kar raha/rahi hoon,Doctor certificate ke saath semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
348,RomanUrdu,Neutral,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
349,English,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
350,RomanUrdu,Male,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
351,Mixed,Female,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause allow hoti hai family care ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
352,RomanUrdu,Neutral,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
353,RomanUrdu,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
354,RomanUrdu,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
355,English,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
356,Mixed,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze le kar responsibilities manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
357,RomanUrdu,Male,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
358,Mixed,Male,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai timing issues me. Advisor ne recommend kiya hai semester freeze lene ke liye
359,English,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
360,Mixed,Male,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
361,Mixed,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
362,RomanUrdu,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
363,English,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
364,English,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
365,RomanUrdu,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
366,English,Neutral,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
367,English,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
368,RomanUrdu,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
369,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
370,RomanUrdu,Neutral,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai,Semester freeze allow hoti hai relocation ya marriage ki wajah se
371,Mixed,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai. Is liye semester freeze request kar raha/rahi hoon,Doctor certificate ke saath semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
372,English,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
373,English,Female,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
374,Mixed,Male,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
375,Mixed,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
376,English,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
377,Mixed,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap responsibilities manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
378,English,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
379,English,Male,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
380,Mixed,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
381,English,Female,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
382,English,Neutral,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
383,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
384,English,Neutral,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
385,Mixed,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap responsibilities manage kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
386,Mixed,Neutral,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai timing issues me. Advisor ne recommend kiya hai semester freeze lene ke liye
387,Mixed,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
388,English,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
389,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
390,English,Neutral,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
391,RomanUrdu,Male,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
392,Mixed,Neutral,Mental Health,Stress ki wajah se exams par focus nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai stress aur burnout ke cases me. Advisor ne recommend kiya hai semester freeze lene ke liye
393,RomanUrdu,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
394,English,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
395,RomanUrdu,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
396,Mixed,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap family support kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
397,Mixed,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon. Is liye semester freeze request kar raha/rahi hoon,Mental health ke liye temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
398,English,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
399,English,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
400,RomanUrdu,Male,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
401,RomanUrdu,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
402,English,Female,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
403,Mixed,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze submit karen taake aap recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
404,Mixed,Female,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se. Is liye semester freeze request kar raha/rahi hoon,Office se discuss karein aur special request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
405,RomanUrdu,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
406,Mixed,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
407,RomanUrdu,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
408,Mixed,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
409,Mixed,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause allow hoti hai family care ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
410,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
411,Mixed,Female,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
412,RomanUrdu,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
413,English,Neutral,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
414,Mixed,Neutral,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
415,English,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
416,English,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
417,Mixed,Neutral,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
418,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
419,English,Male,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
420,Mixed,Male,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
421,English,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
422,RomanUrdu,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
423,Mixed,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
424,RomanUrdu,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
425,English,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
426,English,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
427,Mixed,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai professional training ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
428,Mixed,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
429,English,Neutral,Medical Issues,I had surgery and doctor ne complete rest kaha hai,Doctor certificate ke saath semester freeze le sakte hain
430,Mixed,Male,Medical Issues,I had surgery and doctor ne complete rest kaha hai. Is liye semester freeze request kar raha/rahi hoon,Doctor certificate ke saath semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
431,English,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
432,English,Female,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
433,English,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
434,Mixed,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
435,RomanUrdu,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
436,RomanUrdu,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
437,RomanUrdu,Female,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
438,RomanUrdu,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
439,English,Neutral,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
440,RomanUrdu,Neutral,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
441,English,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
442,English,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
443,RomanUrdu,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
444,Mixed,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request kar sakte hain jab timetable adjust ho. Advisor ne recommend kiya hai semester freeze lene ke liye
445,English,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
446,RomanUrdu,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
447,RomanUrdu,Neutral,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
448,English,Male,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se,Office se discuss karein aur special request submit karein
449,Mixed,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain. Is liye semester freeze request kar raha/rahi hoon,Foundation courses complete karne ke baad advance courses enroll karein. Advisor ne recommend kiya hai semester freeze lene ke liye
450,Mixed,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
451,RomanUrdu,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
452,English,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
453,RomanUrdu,Neutral,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
454,Mixed,Female,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
455,Mixed,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
456,Mixed,Neutral,Academic Issues,DSA is too hard for me and I need a break to improve basics. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
457,English,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
458,RomanUrdu,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
459,RomanUrdu,Female,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
460,Mixed,Female,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
461,Mixed,Neutral,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
